'Arab World', 'ARB', 'Bird species, threatened', 'EN.BIR.THRD.NO', 2015, 297
'Arab World', 'ARB', 'Business extent of disclosure index 0=less disclosure to 10=more disclosure', 'IC.BUS.DISC.XQ', 2015, 5.66666666666667
'Arab World', 'ARB', 'Plant species higher, threatened', 'EN.HPT.THRD.NO', 2015, 318
'Arab World', 'ARB', 'Private credit bureau coverage % of adults', 'IC.CRD.PRVT.ZS', 2015, 9.27619047619048
'Arab World', 'ARB', 'Procedures to build a warehouse number', 'IC.WRH.PROC', 2015, 14.4210526315789
'Arab World', 'ARB', 'Procedures to register property number', 'IC.PRP.PROC', 2015, 5.4
'Arab World', 'ARB', 'Profit tax % of commercial profits', 'IC.TAX.PRFT.CP.ZS', 2015, 11.8619047619048
'Arab World', 'ARB', 'Proportion of seats held by women in national parliaments %', 'SG.GEN.PARL.ZS', 2015, 18.731759087291
'Arab World', 'ARB', 'Public credit registry coverage % of adults', 'IC.CRD.PUBL.ZS', 2015, 8.6
'Arab World', 'ARB', 'Start-up procedures to register a business number', 'IC.REG.PROC', 2015, 8.04761904761905
'Arab World', 'ARB', 'Strength of legal rights index 0=weak to 12=strong', 'IC.LGL.CRED.XQ', 2015, 1.57142857142857
'Arab World', 'ARB', 'Tax payments number', 'IC.TAX.PAYM', 2015, 21.4285714285714
'Arab World', 'ARB', 'Time required to build a warehouse days', 'IC.WRH.DURS', 2015, 143.815789473684
'Arab World', 'ARB', 'Time required to enforce a contract days', 'IC.LGL.DURS', 2015, 654.380952380952
'Arab World', 'ARB', 'Time required to get electricity days', 'IC.ELC.TIME', 2015, 81.38095238095241
'Arab World', 'ARB', 'Time required to register property days', 'IC.PRP.DURS', 2015, 31.175
'Arab World', 'ARB', 'Time required to start a business days', 'IC.REG.DURS', 2015, 18.690476190476197
'Arab World', 'ARB', 'Time to prepare and pay taxes hours', 'IC.TAX.DURS', 2015, 231.047619047619
'Arab World', 'ARB', 'Time to resolve insolvency years', 'IC.ISV.DURS', 2015, 2.84666666666667
'Arab World', 'ARB', 'Total tax rate % of commercial profits', 'IC.TAX.TOTL.CP.ZS', 2015, 42.8857142857143
'Caribbean small states', 'CSS', 'Bird species, threatened', 'EN.BIR.THRD.NO', 2015, 66
'Caribbean small states', 'CSS', 'Business extent of disclosure index 0=less disclosure to 10=more disclosure', 'IC.BUS.DISC.XQ', 2015, 3.4615384615384603
'Caribbean small states', 'CSS', 'Cost of business start-up procedures % of GNI per capita', 'IC.REG.COST.PC.ZS', 2015, 20.3538461538462
'Caribbean small states', 'CSS', 'Depth of credit information index 0=low to 8=high', 'IC.CRD.INFO.XQ', 2015, 1
'Caribbean small states', 'CSS', 'Distance to frontier score 0=lowest performance to 100=frontier', 'IC.BUS.DFRN.XQ', 2015, 58.0453846153846
'Caribbean small states', 'CSS', 'Ease of doing business index 1=most business-friendly regulations', 'IC.BUS.EASE.XQ', 2015, 110.15384615384599
'Caribbean small states', 'CSS', 'Fish species, threatened', 'EN.FSH.THRD.NO', 2015, 414
'Caribbean small states', 'CSS', 'Improved sanitation facilities % of population with access', 'SH.STA.ACSN', 2015, 85.9253010257173
'Caribbean small states', 'CSS', 'Improved sanitation facilities, rural % of rural population with access', 'SH.STA.ACSN.RU', 2015, 86.6026957637997
'Caribbean small states', 'CSS', 'Improved sanitation facilities, urban % of urban population with access', 'SH.STA.ACSN.UR', 2015, 85.00776836158191
'Caribbean small states', 'CSS', 'Improved water source % of population with access', 'SH.H2O.SAFE.ZS', 2015, 95.63307560137459
'Caribbean small states', 'CSS', 'Improved water source, rural % of rural population with access', 'SH.H2O.SAFE.RU.ZS', 2015, 94.1096623120532
'Caribbean small states', 'CSS', 'Improved water source, urban % of urban population with access', 'SH.H2O.SAFE.UR.ZS', 2015, 97.7430826057757
'Caribbean small states', 'CSS', 'Labor tax and contributions % of commercial profits', 'IC.TAX.LABR.CP.ZS', 2015, 7.74615384615385
'Caribbean small states', 'CSS', 'Lifetime risk of maternal death %', 'SH.MMR.RISK.ZS', 2015, 0.21471453984353897
'Caribbean small states', 'CSS', 'Lifetime risk of maternal death 1 in: rate varies by country', 'SH.MMR.RISK', 2015, 470
'Caribbean small states', 'CSS', 'Mammal species, threatened', 'EN.MAM.THRD.NO', 2015, 60
'Caribbean small states', 'CSS', 'Maternal mortality ratio modeled estimate, per 100,000 live births', 'SH.STA.MMRT', 2015, 99
'Caribbean small states', 'CSS', 'Methodology assessment of statistical capacity scale 0 - 100', 'IQ.SCI.MTHD', 2015, 65
'Caribbean small states', 'CSS', 'Mortality rate, infant per 1,000 live births', 'SP.DYN.IMRT.IN', 2015, 16.7678741569197
'Caribbean small states', 'CSS', 'Mortality rate, infant, female per 1,000 live births', 'SP.DYN.IMRT.FE.IN', 2015, 14.769411764705902
'Caribbean small states', 'CSS', 'Mortality rate, infant, male per 1,000 live births', 'SP.DYN.IMRT.MA.IN', 2015, 18.6864697344831
'Caribbean small states', 'CSS', 'Mortality rate, neonatal per 1,000 live births', 'SH.DYN.NMRT', 2015, 12.4604507811833
'Caribbean small states', 'CSS', 'Mortality rate, under-5 per 1,000', 'SH.DYN.MORT', 2015, 19.5649594467686
'Caribbean small states', 'CSS', 'Mortality rate, under-5, female per 1,000 live births', 'SH.DYN.MORT.FE', 2015, 17.251223426961502
'Caribbean small states', 'CSS', 'Mortality rate, under-5, male per 1,000 live births', 'SH.DYN.MORT.MA', 2015, 21.7562025100316
'Caribbean small states', 'CSS', 'Number of maternal deaths', 'SH.MMR.DTHS', 2015, 110
'Caribbean small states', 'CSS', 'Other taxes payable by businesses % of commercial profits', 'IC.TAX.OTHR.CP.ZS', 2015, 5.9538461538461505
'Caribbean small states', 'CSS', 'Overall level of statistical capacity scale 0 - 100', 'IQ.SCI.OVRL', 2015, 67.2222333333333
'Caribbean small states', 'CSS', 'Periodicity and timeliness assessment of statistical capacity scale 0 - 100', 'IQ.SCI.PRDC', 2015, 61.6667
'Caribbean small states', 'CSS', 'Plant species higher, threatened', 'EN.HPT.THRD.NO', 2015, 343
'Caribbean small states', 'CSS', 'Private credit bureau coverage % of adults', 'IC.CRD.PRVT.ZS', 2015, 7.261538461538461
'Caribbean small states', 'CSS', 'Procedures to build a warehouse number', 'IC.WRH.PROC', 2015, 12.8461538461538
'Caribbean small states', 'CSS', 'Procedures to register property number', 'IC.PRP.PROC', 2015, 7.153846153846151
'Caribbean small states', 'CSS', 'Profit tax % of commercial profits', 'IC.TAX.PRFT.CP.ZS', 2015, 22.784615384615396
'Caribbean small states', 'CSS', 'Proportion of seats held by women in national parliaments %', 'SG.GEN.PARL.ZS', 2015, 18.181818181818198
'Caribbean small states', 'CSS', 'Public credit registry coverage % of adults', 'IC.CRD.PUBL.ZS', 2015, 0
'Caribbean small states', 'CSS', 'Source data assessment of statistical capacity scale 0 - 100', 'IQ.SCI.SRCE', 2015, 75
'Caribbean small states', 'CSS', 'Start-up procedures to register a business number', 'IC.REG.PROC', 2015, 7.076923076923079
'Caribbean small states', 'CSS', 'Strength of legal rights index 0=weak to 12=strong', 'IC.LGL.CRED.XQ', 2015, 5.46153846153846
'Caribbean small states', 'CSS', 'Tax payments number', 'IC.TAX.PAYM', 2015, 35.615384615384606
'Caribbean small states', 'CSS', 'Time required to build a warehouse days', 'IC.WRH.DURS', 2015, 173.57692307692298
'Caribbean small states', 'CSS', 'Time required to enforce a contract days', 'IC.LGL.DURS', 2015, 790.5384615384621
'Caribbean small states', 'CSS', 'Time required to get electricity days', 'IC.ELC.TIME', 2015, 63.6923076923077
'Caribbean small states', 'CSS', 'Time required to register property days', 'IC.PRP.DURS', 2015, 63.538461538461505
'Caribbean small states', 'CSS', 'Time required to start a business days', 'IC.REG.DURS', 2015, 22.576923076923105
'Caribbean small states', 'CSS', 'Time to prepare and pay taxes hours', 'IC.TAX.DURS', 2015, 180.769230769231
'Caribbean small states', 'CSS', 'Time to resolve insolvency years', 'IC.ISV.DURS', 2015, 2.74
'Caribbean small states', 'CSS', 'Total tax rate % of commercial profits', 'IC.TAX.TOTL.CP.ZS', 2015, 36.484615384615395
'Central Europe and the Baltics', 'CEB', 'Bank capital to assets ratio %', 'FB.BNK.CAPA.ZS', 2015, 10.68863535449
'Central Europe and the Baltics', 'CEB', 'Bank nonperforming loans to total gross loans %', 'FB.AST.NPER.ZS', 2015, 6.153777763053019
'Central Europe and the Baltics', 'CEB', 'Bird species, threatened', 'EN.BIR.THRD.NO', 2015, 130
'Central Europe and the Baltics', 'CEB', 'Business extent of disclosure index 0=less disclosure to 10=more disclosure', 'IC.BUS.DISC.XQ', 2015, 5.545454545454549
'Central Europe and the Baltics', 'CEB', 'Cost of business start-up procedures % of GNI per capita', 'IC.REG.COST.PC.ZS', 2015, 3.37272727272727
'Central Europe and the Baltics', 'CEB', 'Depth of credit information index 0=low to 8=high', 'IC.CRD.INFO.XQ', 2015, 6.27272727272727
'Central Europe and the Baltics', 'CEB', 'Distance to frontier score 0=lowest performance to 100=frontier', 'IC.BUS.DFRN.XQ', 2015, 75.5318181818182
'Central Europe and the Baltics', 'CEB', 'Ease of doing business index 1=most business-friendly regulations', 'IC.BUS.EASE.XQ', 2015, 30.3636363636364
'Central Europe and the Baltics', 'CEB', 'Fish species, threatened', 'EN.FSH.THRD.NO', 2015, 181
'Central Europe and the Baltics', 'CEB', 'Improved sanitation facilities % of population with access', 'SH.STA.ACSN', 2015, 93.0148353827846
'Central Europe and the Baltics', 'CEB', 'Improved sanitation facilities, rural % of rural population with access', 'SH.STA.ACSN.RU', 2015, 88.17379863288281
'Central Europe and the Baltics', 'CEB', 'Improved sanitation facilities, urban % of urban population with access', 'SH.STA.ACSN.UR', 2015, 95.9272374627607
'Central Europe and the Baltics', 'CEB', 'Improved water source % of population with access', 'SH.H2O.SAFE.ZS', 2015, 99.1920705101537
'Central Europe and the Baltics', 'CEB', 'Improved water source, rural % of rural population with access', 'SH.H2O.SAFE.RU.ZS', 2015, 98.44678778845659
'Central Europe and the Baltics', 'CEB', 'Improved water source, urban % of urban population with access', 'SH.H2O.SAFE.UR.ZS', 2015, 99.6836115938431
'Central Europe and the Baltics', 'CEB', 'Labor tax and contributions % of commercial profits', 'IC.TAX.LABR.CP.ZS', 2015, 29.563636363636398
'Central Europe and the Baltics', 'CEB', 'Lifetime risk of maternal death %', 'SH.MMR.RISK.ZS', 2015, 0.016057394809992
'Central Europe and the Baltics', 'CEB', 'Lifetime risk of maternal death 1 in: rate varies by country', 'SH.MMR.RISK', 2015, 6200
'Central Europe and the Baltics', 'CEB', 'Mammal species, threatened', 'EN.MAM.THRD.NO', 2015, 42
'Central Europe and the Baltics', 'CEB', 'Maternal mortality ratio modeled estimate, per 100,000 live births', 'SH.STA.MMRT', 2015, 11
'Central Europe and the Baltics', 'CEB', 'Mortality rate, infant per 1,000 live births', 'SP.DYN.IMRT.IN', 2015, 5.5975539332973305
'Central Europe and the Baltics', 'CEB', 'Mortality rate, infant, female per 1,000 live births', 'SP.DYN.IMRT.FE.IN', 2015, 5.0651899145818
'Central Europe and the Baltics', 'CEB', 'Mortality rate, infant, male per 1,000 live births', 'SP.DYN.IMRT.MA.IN', 2015, 6.094345823495329
'Central Europe and the Baltics', 'CEB', 'Mortality rate, neonatal per 1,000 live births', 'SH.DYN.NMRT', 2015, 3.7371631262983196
'Central Europe and the Baltics', 'CEB', 'Mortality rate, under-5 per 1,000', 'SH.DYN.MORT', 2015, 6.50854763434545
'Central Europe and the Baltics', 'CEB', 'Mortality rate, under-5, female per 1,000 live births', 'SH.DYN.MORT.FE', 2015, 5.85152457892019
'Central Europe and the Baltics', 'CEB', 'Mortality rate, under-5, male per 1,000 live births', 'SH.DYN.MORT.MA', 2015, 7.10477535840563
'Central Europe and the Baltics', 'CEB', 'Number of maternal deaths', 'SH.MMR.DTHS', 2015, 110
'Central Europe and the Baltics', 'CEB', 'Other taxes payable by businesses % of commercial profits', 'IC.TAX.OTHR.CP.ZS', 2015, 1.59090909090909
'Central Europe and the Baltics', 'CEB', 'Plant species higher, threatened', 'EN.HPT.THRD.NO', 2015, 86
'Central Europe and the Baltics', 'CEB', 'Private credit bureau coverage % of adults', 'IC.CRD.PRVT.ZS', 2015, 62.7
'Central Europe and the Baltics', 'CEB', 'Procedures to build a warehouse number', 'IC.WRH.PROC', 2015, 15.090909090909099
'Central Europe and the Baltics', 'CEB', 'Procedures to register property number', 'IC.PRP.PROC', 2015, 4.81818181818182
'Central Europe and the Baltics', 'CEB', 'Profit tax % of commercial profits', 'IC.TAX.PRFT.CP.ZS', 2015, 8.68181818181818
'Central Europe and the Baltics', 'CEB', 'Proportion of seats held by women in national parliaments %', 'SG.GEN.PARL.ZS', 2015, 20.1612903225806
'Central Europe and the Baltics', 'CEB', 'Public credit registry coverage % of adults', 'IC.CRD.PUBL.ZS', 2015, 18.936363636363602
'Central Europe and the Baltics', 'CEB', 'Start-up procedures to register a business number', 'IC.REG.PROC', 2015, 4.454545454545451
'Central Europe and the Baltics', 'CEB', 'Strength of legal rights index 0=weak to 12=strong', 'IC.LGL.CRED.XQ', 2015, 7.27272727272727
'Central Europe and the Baltics', 'CEB', 'Tax payments number', 'IC.TAX.PAYM', 2015, 10.8181818181818
'Central Europe and the Baltics', 'CEB', 'Time required to build a warehouse days', 'IC.WRH.DURS', 2015, 177.95454545454498
'Central Europe and the Baltics', 'CEB', 'Time required to enforce a contract days', 'IC.LGL.DURS', 2015, 581.636363636364
'Central Europe and the Baltics', 'CEB', 'Time required to get electricity days', 'IC.ELC.TIME', 2015, 120.818181818182
'Central Europe and the Baltics', 'CEB', 'Time required to register property days', 'IC.PRP.DURS', 2015, 25
'Central Europe and the Baltics', 'CEB', 'Time required to start a business days', 'IC.REG.DURS', 2015, 10.727272727272698
'Central Europe and the Baltics', 'CEB', 'Time to prepare and pay taxes hours', 'IC.TAX.DURS', 2015, 238.090909090909
'Central Europe and the Baltics', 'CEB', 'Time to resolve insolvency years', 'IC.ISV.DURS', 2015, 2.5818181818181802
'Central Europe and the Baltics', 'CEB', 'Total tax rate % of commercial profits', 'IC.TAX.TOTL.CP.ZS', 2015, 39.8363636363636
'East Asia & Pacific all income levels', 'EAS', 'Bird species, threatened', 'EN.BIR.THRD.NO', 2015, 1095
'East Asia & Pacific all income levels', 'EAS', 'Business extent of disclosure index 0=less disclosure to 10=more disclosure', 'IC.BUS.DISC.XQ', 2015, 5.82758620689655
'East Asia & Pacific all income levels', 'EAS', 'Cost of business start-up procedures % of GNI per capita', 'IC.REG.COST.PC.ZS', 2015, 20.6344827586207
'East Asia & Pacific all income levels', 'EAS', 'Depth of credit information index 0=low to 8=high', 'IC.CRD.INFO.XQ', 2015, 4.37931034482759
'East Asia & Pacific all income levels', 'EAS', 'Distance to frontier score 0=lowest performance to 100=frontier', 'IC.BUS.DFRN.XQ', 2015, 64.2106896551724
'East Asia & Pacific all income levels', 'EAS', 'Ease of doing business index 1=most business-friendly regulations', 'IC.BUS.EASE.XQ', 2015, 84.48275862068971
'East Asia & Pacific all income levels', 'EAS', 'Fish species, threatened', 'EN.FSH.THRD.NO', 2015, 1430
'East Asia & Pacific all income levels', 'EAS', 'Improved sanitation facilities % of population with access', 'SH.STA.ACSN', 2015, 77.2153722399122
'East Asia & Pacific all income levels', 'EAS', 'Improved sanitation facilities, rural % of rural population with access', 'SH.STA.ACSN.RU', 2015, 64.33507216374639
'East Asia & Pacific all income levels', 'EAS', 'Improved sanitation facilities, urban % of urban population with access', 'SH.STA.ACSN.UR', 2015, 87.1037547448901
'East Asia & Pacific all income levels', 'EAS', 'Improved water source % of population with access', 'SH.H2O.SAFE.ZS', 2015, 94.1344566572908
'East Asia & Pacific all income levels', 'EAS', 'Improved water source, rural % of rural population with access', 'SH.H2O.SAFE.RU.ZS', 2015, 90.18651855534729
'East Asia & Pacific all income levels', 'EAS', 'Improved water source, urban % of urban population with access', 'SH.H2O.SAFE.UR.ZS', 2015, 97.3408747860376
'East Asia & Pacific all income levels', 'EAS', 'Labor tax and contributions % of commercial profits', 'IC.TAX.LABR.CP.ZS', 2015, 9.388461538461538
'East Asia & Pacific all income levels', 'EAS', 'Lifetime risk of maternal death %', 'SH.MMR.RISK.ZS', 2015, 0.10778669528465401
'East Asia & Pacific all income levels', 'EAS', 'Lifetime risk of maternal death 1 in: rate varies by country', 'SH.MMR.RISK', 2015, 930
'East Asia & Pacific all income levels', 'EAS', 'Mammal species, threatened', 'EN.MAM.THRD.NO', 2015, 891
'East Asia & Pacific all income levels', 'EAS', 'Maternal mortality ratio modeled estimate, per 100,000 live births', 'SH.STA.MMRT', 2015, 59
'East Asia & Pacific all income levels', 'EAS', 'Mortality rate, infant per 1,000 live births', 'SP.DYN.IMRT.IN', 2015, 14.184070188264402
'East Asia & Pacific all income levels', 'EAS', 'Mortality rate, infant, female per 1,000 live births', 'SP.DYN.IMRT.FE.IN', 2015, 12.723491823959698
'East Asia & Pacific all income levels', 'EAS', 'Mortality rate, infant, male per 1,000 live births', 'SP.DYN.IMRT.MA.IN', 2015, 15.604667715887999
'East Asia & Pacific all income levels', 'EAS', 'Mortality rate, neonatal per 1,000 live births', 'SH.DYN.NMRT', 2015, 8.54936607163367
'East Asia & Pacific all income levels', 'EAS', 'Mortality rate, under-5 per 1,000', 'SH.DYN.MORT', 2015, 17.1072853210896
'East Asia & Pacific all income levels', 'EAS', 'Mortality rate, under-5, female per 1,000 live births', 'SH.DYN.MORT.FE', 2015, 15.4095145035153
'East Asia & Pacific all income levels', 'EAS', 'Mortality rate, under-5, male per 1,000 live births', 'SH.DYN.MORT.MA', 2015, 18.689378638252897
'East Asia & Pacific all income levels', 'EAS', 'Number of maternal deaths', 'SH.MMR.DTHS', 2015, 18000
'East Asia & Pacific all income levels', 'EAS', 'Other taxes payable by businesses % of commercial profits', 'IC.TAX.OTHR.CP.ZS', 2015, 5.8653846153846105
'East Asia & Pacific all income levels', 'EAS', 'Plant species higher, threatened', 'EN.HPT.THRD.NO', 2015, 3453
'East Asia & Pacific all income levels', 'EAS', 'Private credit bureau coverage % of adults', 'IC.CRD.PRVT.ZS', 2015, 32.6827586206897
'East Asia & Pacific all income levels', 'EAS', 'Procedures to build a warehouse number', 'IC.WRH.PROC', 2015, 14.1379310344828
'East Asia & Pacific all income levels', 'EAS', 'Procedures to register property number', 'IC.PRP.PROC', 2015, 5.230769230769231
'East Asia & Pacific all income levels', 'EAS', 'Profit tax % of commercial profits', 'IC.TAX.PRFT.CP.ZS', 2015, 17.634615384615397
'East Asia & Pacific all income levels', 'EAS', 'Proportion of seats held by women in national parliaments %', 'SG.GEN.PARL.ZS', 2015, 18.8833524977642
'East Asia & Pacific all income levels', 'EAS', 'Public credit registry coverage % of adults', 'IC.CRD.PUBL.ZS', 2015, 12.037931034482801
'East Asia & Pacific all income levels', 'EAS', 'Start-up procedures to register a business number', 'IC.REG.PROC', 2015, 6.51724137931035
'East Asia & Pacific all income levels', 'EAS', 'Strength of legal rights index 0=weak to 12=strong', 'IC.LGL.CRED.XQ', 2015, 6.448275862068971
'East Asia & Pacific all income levels', 'EAS', 'Tax payments number', 'IC.TAX.PAYM', 2015, 23.379310344827598
'East Asia & Pacific all income levels', 'EAS', 'Time required to build a warehouse days', 'IC.WRH.DURS', 2015, 130.844827586207
'East Asia & Pacific all income levels', 'EAS', 'Time required to enforce a contract days', 'IC.LGL.DURS', 2015, 518.8206896551719
'East Asia & Pacific all income levels', 'EAS', 'Time required to get electricity days', 'IC.ELC.TIME', 2015, 72.4793103448276
'East Asia & Pacific all income levels', 'EAS', 'Time required to register property days', 'IC.PRP.DURS', 2015, 63.7846153846154
'East Asia & Pacific all income levels', 'EAS', 'Time required to start a business days', 'IC.REG.DURS', 2015, 22.9275862068965
'East Asia & Pacific all income levels', 'EAS', 'Time to prepare and pay taxes hours', 'IC.TAX.DURS', 2015, 200.32758620689702
'East Asia & Pacific all income levels', 'EAS', 'Time to resolve insolvency years', 'IC.ISV.DURS', 2015, 2.41538461538462
'East Asia & Pacific all income levels', 'EAS', 'Total tax rate % of commercial profits', 'IC.TAX.TOTL.CP.ZS', 2015, 34.6172413793103
'East Asia & Pacific developing only', 'EAP', 'Bird species, threatened', 'EN.BIR.THRD.NO', 2015, 739
'East Asia & Pacific developing only', 'EAP', 'Business extent of disclosure index 0=less disclosure to 10=more disclosure', 'IC.BUS.DISC.XQ', 2015, 4.952380952380951
'East Asia & Pacific developing only', 'EAP', 'Cost of business start-up procedures % of GNI per capita', 'IC.REG.COST.PC.ZS', 2015, 27.157142857142897
'East Asia & Pacific developing only', 'EAP', 'Depth of credit information index 0=low to 8=high', 'IC.CRD.INFO.XQ', 2015, 3.3333333333333304
'East Asia & Pacific developing only', 'EAP', 'Disbursements on external debt, long-term DIS, current US$', 'DT.DIS.DLXF.CD', 2015, 41021741000
'East Asia & Pacific developing only', 'EAP', 'Distance to frontier score 0=lowest performance to 100=frontier', 'IC.BUS.DFRN.XQ', 2015, 58.197619047619
'East Asia & Pacific developing only', 'EAP', 'Ease of doing business index 1=most business-friendly regulations', 'IC.BUS.EASE.XQ', 2015, 109.333333333333
'East Asia & Pacific developing only', 'EAP', 'Fish species, threatened', 'EN.FSH.THRD.NO', 2015, 986
'East Asia & Pacific developing only', 'EAP', 'Improved sanitation facilities % of population with access', 'SH.STA.ACSN', 2015, 74.8905422952569
'East Asia & Pacific developing only', 'EAP', 'Improved sanitation facilities, rural % of rural population with access', 'SH.STA.ACSN.RU', 2015, 63.595406183345496
'East Asia & Pacific developing only', 'EAP', 'Improved sanitation facilities, urban % of urban population with access', 'SH.STA.ACSN.UR', 2015, 84.8571079918858
'East Asia & Pacific developing only', 'EAP', 'Improved water source % of population with access', 'SH.H2O.SAFE.ZS', 2015, 93.66876094977471
'East Asia & Pacific developing only', 'EAP', 'Improved water source, rural % of rural population with access', 'SH.H2O.SAFE.RU.ZS', 2015, 90.06762156620371
'East Asia & Pacific developing only', 'EAP', 'Improved water source, urban % of urban population with access', 'SH.H2O.SAFE.UR.ZS', 2015, 96.8794758439447
'East Asia & Pacific developing only', 'EAP', 'Interest payments on external debt, long-term INT, current US$', 'DT.INT.DLXF.CD', 2015, 14390652000
'East Asia & Pacific developing only', 'EAP', 'Interest payments on external debt, private nonguaranteed PNG INT, current US$', 'DT.INT.DPNG.CD', 2015, 3832479000
'East Asia & Pacific developing only', 'EAP', 'Labor tax and contributions % of commercial profits', 'IC.TAX.LABR.CP.ZS', 2015, 8.40526315789474
'East Asia & Pacific developing only', 'EAP', 'Lifetime risk of maternal death %', 'SH.MMR.RISK.ZS', 2015, 0.11620237802777302
'East Asia & Pacific developing only', 'EAP', 'Lifetime risk of maternal death 1 in: rate varies by country', 'SH.MMR.RISK', 2015, 860
'East Asia & Pacific developing only', 'EAP', 'Mammal species, threatened', 'EN.MAM.THRD.NO', 2015, 716
'East Asia & Pacific developing only', 'EAP', 'Maternal mortality ratio modeled estimate, per 100,000 live births', 'SH.STA.MMRT', 2015, 63
'East Asia & Pacific developing only', 'EAP', 'Methodology assessment of statistical capacity scale 0 - 100', 'IQ.SCI.MTHD', 2015, 61.6666666666667
'East Asia & Pacific developing only', 'EAP', 'Mortality rate, infant per 1,000 live births', 'SP.DYN.IMRT.IN', 2015, 14.9
'East Asia & Pacific developing only', 'EAP', 'Mortality rate, infant, female per 1,000 live births', 'SP.DYN.IMRT.FE.IN', 2015, 13.5
'East Asia & Pacific developing only', 'EAP', 'Mortality rate, infant, male per 1,000 live births', 'SP.DYN.IMRT.MA.IN', 2015, 16.3
'East Asia & Pacific developing only', 'EAP', 'Mortality rate, neonatal per 1,000 live births', 'SH.DYN.NMRT', 2015, 9
'East Asia & Pacific developing only', 'EAP', 'Mortality rate, under-5 per 1,000', 'SH.DYN.MORT', 2015, 18
'East Asia & Pacific developing only', 'EAP', 'Mortality rate, under-5, female per 1,000 live births', 'SH.DYN.MORT.FE', 2015, 16.4
'East Asia & Pacific developing only', 'EAP', 'Mortality rate, under-5, male per 1,000 live births', 'SH.DYN.MORT.MA', 2015, 19.5
'East Asia & Pacific developing only', 'EAP', 'Number of infant deaths', 'SH.DTH.IMRT', 2015, 447554
'East Asia & Pacific developing only', 'EAP', 'Number of maternal deaths', 'SH.MMR.DTHS', 2015, 18000
'East Asia & Pacific developing only', 'EAP', 'Number of neonatal deaths', 'SH.DTH.NMRT', 2015, 269613
'East Asia & Pacific developing only', 'EAP', 'Number of under-five deaths', 'SH.DTH.MORT', 2015, 536596
