Country,Nbr1,Nbr2,Nbr3
GIN,TZA,UGA,LIC
LIE,ISR,DNK,PRI
AZE,ARM,MDA,DJI
MNE,BRB,KWT,CYP
NAC,FIN,HIC,USA
GAB,WLD,MEX,MLT
POL,FIN,HIC,USA
SWZ,PRY,WBG,NCL
BGR,ROM,PRY,ECA
CZE,CSS,PLW,NOC
FRO,CUW,DEU,FRA
MCO,ESP,VEN,FIN
MLI,MWI,CAF,NPL
MDV,SVN,ESP,ECS
ERI,TZA,TJK,KHM
NIC,HND,GUY,EAP
CRI,LAC,BRA,FJI
HKG,VEN,SAU,PRT
SYR,KOR,MYS,FJI
KGZ,YEM,FCS,UZB
KEN,GHA,BEN,SAS
OED,FIN,HIC,USA
QAT,DEU,CUW,EUU
BRA,LAC,FJI,MYS
SAU,HKG,PRT,EUU
CYP,GRL,SMR,VEN
ALB,GNQ,GRC,JPN
BEL,FIN,HIC,USA
HND,LKA,MIC,CHN
HTI,AFG,KHM,EUU
SXM,TTO,SVN,WLD
FCS,YEM,VNM,KGZ
GNB,HPC,LDC,CAF
DJI,QAT,GRC,NZL
BDI,ZAR,MWI,CAF
TZA,GIN,TJK,LIC
MMR,ATG,CSS,TTO
CSS,WLD,TTO,CZE
PRK,KWT,BRB,SVN
HPC,SLE,TGO,CAF
OEC,FIN,HIC,USA
SLE,TGO,CAF,NER
GRL,FRA,FIN,KWT
MKD,FSM,LTU,ABW
AFG,HTI,KNA,SAU
UZB,KGZ,YEM,FCS
NGA,KEN,ZMB,SAS
PNG,CMR,SSF,SSA
URY,TTO,ZAF,WLD
BRB,KWT,SVN,GRC
EAP,CHN,LKA,GUY
EMU,FIN,HIC,USA
BLZ,EAS,SYC,MYS
UGA,LIC,MOZ,COM
ITA,ISR,PRI,ARG
COG,CMR,GTM,HND
SVN,KWT,BRB,GRC
PRY,GRC,ISR,ITA
DMA,MUS,VEN,HKG
KOR,MYS,FJI,SYC
GBR,VIR,ECS,FRA
CHN,EAP,LKA,GUY
PLW,CZE,NOC,PRT
ZMB,GHA,KEN,SAS
TON,NOC,BRN,ADO
ECA,ROM,KAZ,BGR
PSS,DEU,SVK,ISR
CHE,FRA,FIN,USA
BFA,CAF,SLE,TGO
ZAR,NER,MDG,SLE
STP,LCA,QAT,EUU
IRQ,URY,TTO,MLT
CUB,GRC,SMR,KNA
MOZ,UGA,LIC,LDC
CAN,FIN,HIC,USA
BMU,FIN,HIC,USA
NLD,FIN,HIC,USA
JPN,GRC,KWT,DNK
ISL,FIN,HIC,USA
SWE,FIN,HIC,USA
YEM,FCS,KGZ,UZB
GUY,EAP,LKA,CHN
JAM,MEX,ZAF,GAB
SSF,SSA,MRT,LSO
TUR,LAC,LCN,BRA
CHL,URY,PAN,ZAF
ETH,UGA,LIC,MOZ
LTU,GRC,JPN,KWT
NOC,FRA,FIN,HIC
CEB,LIE,KNA,SMR
SRB,NZL,LIE,DNK
BOL,SLV,HND,LMY
ECU,DZA,FJI,IRN
GTM,UMC,MAR,DOM
LSO,MRT,SSF,SSA
VCT,BWA,THA,EAS
KNA,GRC,SMR,JPN
ABW,IRL,BRB,FRA
TUV,EUU,SMR,NZL
MAF,FIN,HIC,USA
TJK,TZA,KHM,ERI
AUS,FIN,HIC,USA
WLD,ZAF,PRT,TTO
EGY,MIC,LMY,PHL
TGO,SLE,CAF,NER
PAN,ZAF,WLD,MEX
TTO,URY,WLD,CSS
GNQ,ALB,DNK,GRC
NCL,KWT,GRC,NZL
MEA,GBR,NZL,VIR
HRV,PRT,SGP,URY
PYF,FRA,FIN,HIC
ZWE,SLE,COG,TGO
TCA,SVN,CYP,PAN
SOM,KNA,ABW,OMN
ESP,VEN,PRT,GRC
LMC,PAK,MRT,KEN
NAM,FRA,FIN,USA
LCA,BHR,EUU,GRC
SLB,MMR,EST,ATG
EAS,BLZ,BWA,COL
FJI,SYC,LAC,KOR
COL,EAS,DOM,VCT
SEN,SSF,SSA,MRT
KAZ,BRB,ECA,KWT
SUR,GRC,NZL,JPN
KIR,VUT,CPV,MNA
LVA,FIN,HIC,USA
BLR,WSM,FRA,FIN
CUW,FRA,FIN,HIC
UMC,MAR,SLV,GTM
VUT,GTM,KIR,CPV
OSS,MKD,PSS,FIN
SST,GRD,CYP,GBR
LMY,MIC,EAP,EGY
ARM,AZE,TKM,MDA
TKM,MDA,VEN,LIE
KHM,TJK,ERI,KGZ
LUX,FIN,HIC,USA
IND,SAS,PAK,GHA
BIH,PLW,FRA,FIN
SYC,FJI,KOR,MYS
RUS,SAU,ADO,EUU
SAS,IND,PAK,GHA
MYS,KOR,LAC,FJI
MHL,DNK,GBR,GRC
MNG,MDA,TKM,AGO
RWA,CAF,BFA,MWI
GMB,HPC,SLE,TGO
SDN,GHA,KEN,SAS
TCD,CAF,BFA,BEN
BRN,ISR,NZL,LIE
IDN,MIC,LMY,EGY
TUN,BLZ,EAS,OMN
BHR,EUU,GRC,ISR
EUU,SMR,NZL,GRC
MUS,DMA,FIN,HIC
ASM,SMR,KNA,GRD
PRI,ISR,ITA,ARG
OMN,SOM,ARB,MNE
ZAF,WLD,MEX,PAN
MAR,UMC,GTM,PHL
KSV,BMU,NAM,FRA
PHL,MIC,LMY,EGY
DEU,ISR,PRI,ITA
ADO,SMR,ISR,EUU
NOR,FIN,HIC,USA
MEX,ZAF,WLD,PAN
MNP,TTO,MLT,URY
ARG,ISR,PRI,ITA
BTN,AGO,ALB,GNQ
UKR,NZL,HKG,SAU
CYM,LIE,VEN,MLT
LIC,UGA,MOZ,COM
AUT,ISR,PRI,ITA
MAC,CUW,NOC,FRA
HUN,CYP,SVN,GRL
LCN,MEX,PAN,ZAF
ECS,GBR,FRA,FIN
IMY,KWT,MNE,CYP
CMR,PNG,COG,LSO
GHA,KEN,SAS,IND
