CountryCode,ShortName,TableName
EGY,Egypt,"Egypt, Arab Rep."
SLV,El Salvador,El Salvador
GNQ,Equatorial Guinea,Equatorial Guinea
ERI,Eritrea,Eritrea
EST,Estonia,Estonia
ETH,Ethiopia,Ethiopia
EMU,Euro area,Euro area
ECS,Europe & Central Asia (all income levels),Europe & Central Asia (all income levels)
ECA,Europe & Central Asia (developing only),Europe & Central Asia
EUU,European Union,European Union
FRO,Faeroe Islands,Faeroe Islands
FJI,Fiji,Fiji
FIN,Finland,Finland
FCS,Fragile and conflict affected situations,Fragile and conflict affected situations
FRA,France,France
PYF,French Polynesia,French Polynesia
GAB,Gabon,Gabon
GEO,Georgia,Georgia
DEU,Germany,Germany
GHA,Ghana,Ghana
GRC,Greece,Greece
GRL,Greenland,Greenland
GRD,Grenada,Grenada
GUM,Guam,Guam
GTM,Guatemala,Guatemala
GIN,Guinea,Guinea
GNB,Guinea-Bissau,Guinea-Bissau
GUY,Guyana,Guyana
HTI,Haiti,Haiti
HPC,Heavily indebted poor countries (HIPC),Heavily indebted poor countries (HIPC)
HIC,High income,High income
NOC,High income: nonOECD,High income: nonOECD
OEC,High income: OECD,High income: OECD
HND,Honduras,Honduras
HKG,"Hong Kong SAR, China","Hong Kong SAR, China"
HUN,Hungary,Hungary
ISL,Iceland,Iceland
IND,India,India
IDN,Indonesia,Indonesia
IRN,Iran,"Iran, Islamic Rep."
IRQ,Iraq,Iraq
IRL,Ireland,Ireland
IMY,Isle of Man,Isle of Man
ISR,Israel,Israel
ITA,Italy,Italy
JAM,Jamaica,Jamaica
JPN,Japan,Japan
JOR,Jordan,Jordan
KAZ,Kazakhstan,Kazakhstan
KEN,Kenya,Kenya
KIR,Kiribati,Kiribati
KOR,Korea,"Korea, Rep."
KSV,Kosovo,Kosovo
KWT,Kuwait,Kuwait
KGZ,Kyrgyz Republic,Kyrgyz Republic
LAO,Lao PDR,Lao PDR
LCN,Latin America & Caribbean (all income levels),Latin America & Caribbean (all income levels)
LAC,Latin America & Caribbean (developing only),Latin America & Caribbean
LVA,Latvia,Latvia
LDC,Least developed countries: UN classification,Least developed countries: UN classification
LBN,Lebanon,Lebanon
LSO,Lesotho,Lesotho
LBR,Liberia,Liberia
LBY,Libya,Libya
LIE,Liechtenstein,Liechtenstein
LTU,Lithuania,Lithuania
LMY,Low & middle income,Low & middle income
LIC,Low income,Low income
LMC,Lower middle income,Lower middle income
LUX,Luxembourg,Luxembourg
MAC,"Macao SAR, China","Macao SAR, China"
MKD,Macedonia,"Macedonia, FYR"
MDG,Madagascar,Madagascar
MWI,Malawi,Malawi
MYS,Malaysia,Malaysia
MDV,Maldives,Maldives
MLI,Mali,Mali
MLT,Malta,Malta
MHL,Marshall Islands,Marshall Islands
MRT,Mauritania,Mauritania
MUS,Mauritius,Mauritius
MEX,Mexico,Mexico
FSM,Micronesia,"Micronesia, Fed. Sts."
MEA,Middle East & North Africa (all income levels),Middle East & North Africa (all income levels)
MNA,Middle East & North Africa (developing only),Middle East & North Africa
MIC,Middle income,Middle income
MDA,Moldova,Moldova
MCO,Monaco,Monaco
MNG,Mongolia,Mongolia
MNE,Montenegro,Montenegro
MAR,Morocco,Morocco
MOZ,Mozambique,Mozambique
MMR,Myanmar,Myanmar
NAM,Namibia,Namibia
NPL,Nepal,Nepal
NLD,Netherlands,Netherlands
NCL,New Caledonia,New Caledonia
NZL,New Zealand,New Zealand
NIC,Nicaragua,Nicaragua
NER,Niger,Niger
NGA,Nigeria,Nigeria
NAC,North America,North America
MNP,Northern Mariana Islands,Northern Mariana Islands
NOR,Norway,Norway
OED,OECD members,OECD members
OMN,Oman,Oman
OSS,Other small states,Other small states
PSS,Pacific island small states,Pacific island small states
PAK,Pakistan,Pakistan
PLW,Palau,Palau
PAN,Panama,Panama
PNG,Papua New Guinea,Papua New Guinea
PRY,Paraguay,Paraguay
PER,Peru,Peru
PHL,Philippines,Philippines
POL,Poland,Poland
PRT,Portugal,Portugal
PRI,Puerto Rico,Puerto Rico
QAT,Qatar,Qatar
ROM,Romania,Romania
RUS,Russia,Russian Federation
RWA,Rwanda,Rwanda
WSM,Samoa,Samoa
SMR,San Marino,San Marino
STP,Sao Tome and Principe,Sao Tome and Principe
SAU,Saudi Arabia,Saudi Arabia
SEN,Senegal,Senegal
SRB,Serbia,Serbia
SYC,Seychelles,Seychelles
SLE,Sierra Leone,Sierra Leone
SGP,Singapore,Singapore
SXM,Sint Maarten (Dutch part),Sint Maarten (Dutch part)
SVK,Slovak Republic,Slovak Republic
SVN,Slovenia,Slovenia
SST,Small states,Small states
SLB,Solomon Islands,Solomon Islands
SOM,Somalia,Somalia
ZAF,South Africa,South Africa
SAS,South Asia,South Asia
SSD,South Sudan,South Sudan
ESP,Spain,Spain
LKA,Sri Lanka,Sri Lanka
KNA,St. Kitts and Nevis,St. Kitts and Nevis
LCA,St. Lucia,St. Lucia
MAF,St. Martin (French part),St. Martin (French part)
VCT,St. Vincent and the Grenadines,St. Vincent and the Grenadines
SSF,Sub-Saharan Africa (all income levels),Sub-Saharan Africa (all income levels)
SSA,Sub-Saharan Africa (developing only),Sub-Saharan Africa
SDN,Sudan,Sudan
SUR,Suriname,Suriname
SWZ,Swaziland,Swaziland
SWE,Sweden,Sweden
CHE,Switzerland,Switzerland
SYR,Syrian Arab Republic,Syrian Arab Republic
TJK,Tajikistan,Tajikistan
TZA,Tanzania,Tanzania
THA,Thailand,Thailand
BHS,The Bahamas,"Bahamas, The"
GMB,The Gambia,"Gambia, The"
TMP,Timor-Leste,Timor-Leste
TGO,Togo,Togo
TON,Tonga,Tonga
TTO,Trinidad and Tobago,Trinidad and Tobago
TUN,Tunisia,Tunisia
TUR,Turkey,Turkey
TKM,Turkmenistan,Turkmenistan
TCA,Turks and Caicos Islands,Turks and Caicos Islands
TUV,Tuvalu,Tuvalu
UGA,Uganda,Uganda
UKR,Ukraine,Ukraine
ARE,United Arab Emirates,United Arab Emirates
GBR,United Kingdom,United Kingdom
USA,United States,United States
UMC,Upper middle income,Upper middle income
URY,Uruguay,Uruguay
UZB,Uzbekistan,Uzbekistan
VUT,Vanuatu,Vanuatu
VEN,Venezuela,"Venezuela, RB"
VNM,Vietnam,Vietnam
VIR,Virgin Islands,Virgin Islands (U.S.)
WBG,West Bank and Gaza,West Bank and Gaza
WLD,World,World
YEM,Yemen,"Yemen, Rep."
ZMB,Zambia,Zambia
ZWE,Zimbabwe,Zimbabwe
