Country,Nbr1,Nbr2,Nbr3
LVA,MAF,LIE,ITA
BLR,MKD,MDA,DMA
CUW,BHR,LIE,AUS
VUT,PRY,LCA,BTN
UMC,LMC,MIC,LMY
OSS,SST,GNQ,TCA
TKM,ERI,KGZ,MDA
SST,OSS,SMR,FCS
LMY,MIC,LMC,UMC
ARM,MKD,KGZ,TON
KHM,CPV,SLB,DOM
LUX,POL,LIE,NCL
IND,LIE,ITA,BEL
BIH,ALB,GEO,MKD
SYC,PYF,GUM,PLW
RUS,LIE,MCO,FRA
SAS,SSA,LIC,MNA
MHL,IRL,SWE,BEL
MYS,VEN,EGY,TCA
RWA,BEN,CRI,MDG
MNG,UKR,MDA,UZB
GMB,CAF,SLV,BEN
SDN,MAR,BEN,LKA
BRN,KWT,FIN,CHL
TCD,ETH,MLI,DJI
IDN,KOR,OEC,HIC
TUN,NPL,LKA,CAF
BHR,NOC,LIE,CUW
MUS,SLE,BOL,BEN
ASM,BMU,BEL,PRI
PRI,BEL,LIE,NCL
EUU,EAS,EMU,FRA
OMN,SAU,CHL,IMY
ZAF,TKM,MDA,MKD
MAR,SDN,BEN,LKA
KSV,TCA,SST,MYS
PHL,PER,MWI,PAN
DEU,LUX,LIE,ITA
ADO,TCA,SMR,ISR
NOR,LIE,SWE,BEL
MEX,MAC,HUN,FRA
MNP,LIE,ITA,AUS
ARG,HKG,CSS,NOC
BTN,LAO,DJI,VUT
CYM,KWT,BHR,CHI
UKR,KAZ,MNG,MKD
LIC,SSA,SAS,ECA
AUT,NOC,LIE,SWE
MAC,ITA,LUX,HUN
HUN,BEL,LIE,NLD
LCN,EMU,EUU,FRA
ECS,NAC,EUU,EAS
IMY,NOR,MEX,MAC
CMR,DOM,KEN,UGA
SXM,GUM,PRI,ARB
